condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_cross.started,text_cross.stopped,text_pre_condition.started,text_pre_condition.stopped,text_pre_fix.started,text_pre_fix.stopped,text_condition.started,text_condition.stopped,text.started,text.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
hand,30,0,60,1,,,724.588308499995,None,727.6051768999896,None,727.6051768999896,None,729.1051574000012,None,734.0887068000011,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,30,1,61,0,,,736.0888801999972,None,739.1055838999891,None,739.1055838999891,None,740.6057034999976,None,745.5891913999949,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,31,0,62,0,,,747.5893854000024,None,750.5894109999936,None,750.5894109999936,None,752.0894638999889,None,757.0896742999903,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,31,1,63,0,,,759.0898220999952,None,762.0899444999959,None,762.0899444999959,None,763.589993799993,None,768.5902714999975,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,32,0,64,1,,,770.5902415000019,None,773.6070334999968,None,773.6070334999968,None,775.1071024999983,None,780.0907049999951,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,32,1,65,0,,,782.0908202999999,None,785.1075879999989,None,785.1075879999989,None,786.607591299995,None,791.5912322999939,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,33,0,66,0,,,793.5912057999958,None,796.5914040999924,None,796.5914040999924,None,798.0914652999927,None,803.091618099992,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,33,1,67,1,,,805.0917016000021,None,808.1084942000016,None,808.1084942000016,None,809.6085598999925,None,814.5921909999888,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
feet,34,0,68,0,,,816.5921917999949,None,819.6089722999895,None,819.6089722999895,None,821.1090937999979,None,826.0926485999953,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
hand,34,1,69,1,,,828.092676699991,None,831.109475099991,None,831.109475099991,None,832.6095365999936,None,837.5931280999939,None,,,000,001,2021_Nov_18_0248,para,2021.2.3,60.00358821220984,
